restid,itemname,description,sentence
576,Soupe Phnom Penh gluten free ,The Traditional Khmer noodle soup w PT Farm pork bean sprouts herbs fried garlic    ,Soupe Phnom Penh gluten free The Traditional Khmer noodle soup w PT Farm pork bean sprouts herbs fried garlic
576,Avocat Kanthor gluten free ,Raw tuna avocado lemongrass shallot French mint dressing w Khmer spices peanut   ,Avocat Kanthor gluten free Raw tuna avocado lemongrass shallot French mint dressing w Khmer spices peanut
576,Salad d'Epinards aux Noix de cajou,Baby spinach shaved raw pumpkin spicy rosemary cashews hard cooked eggs red onion mustard vinaigrette     ,Salad d'Epinards aux Noix de cajou Baby spinach shaved raw pumpkin spicy rosemary cashews hard cooked eggs red onion mustard vinaigrette
576,Salade Cambodgienne gluten free available vegan ,Shredded cabbage carrot natural chicken breast red bell pepper onion peanut mint Asian basil tuk trey     ,Salade Cambodgienne gluten free available vegan Shredded cabbage carrot natural chicken breast red bell pepper onion peanut mint Asian basil tuk trey
576,Nyoum Sarai gluten free available vegan ,Kelp noodles shrimp cucumber cherry tomato mint shallot peanut Asian basil spicy chili lime tuk trey dressing     ,Nyoum Sarai gluten free available vegan Kelp noodles shrimp cucumber cherry tomato mint shallot peanut Asian basil spicy chili lime tuk trey dressing
576,Salade verte vegan gluten free ,Baby green mix plum tomatoes dressed w balsamic vinaigrette  ,Salade verte vegan gluten free Baby green mix plum tomatoes dressed w balsamic vinaigrette
576,Crevettes Kep Sur Mer gluten free available vegan w Organic Tofu ,Natural shrimp tangy lemongrass tamarind coconut milk sauce asparagus baby bok choy snow peas red bell pepper button mushroom      ,Crevettes Kep Sur Mer gluten free available vegan w Organic Tofu Natural shrimp tangy lemongrass tamarind coconut milk sauce asparagus baby bok choy snow peas red bell pepper button mushroom
576,Khar Saiko Kroeung,PT Farm boneless beef short ribs braised in tamarind ginger chili pods soy w garlic Shanghai noodles pickled cucumber      ,Khar Saiko Kroeung PT Farm boneless beef short ribs braised in tamarind ginger chili pods soy w garlic Shanghai noodles pickled cucumber
576,Truite Grill e Marinade de Jalapeno au Citron gluten free ,Grilled deboned rainbow trout w spicy jalapeno lime marinade Cambodian quick pickles wild lime rice   ,Truite Grill e Marinade de Jalapeno au Citron gluten free Grilled deboned rainbow trout w spicy jalapeno lime marinade Cambodian quick pickles wild lime rice
576,L gumes grill s et curry vert pic au gingembre vegetarian ,Rice croquette grilled vegetables tempura exotic mushroom spicy ginger curry sweet soy         ,L gumes grill s et curry vert pic au gingembre vegetarian Rice croquette grilled vegetables tempura exotic mushroom spicy ginger curry sweet soy
576,Kari Tieh available gluten free w rice noodles ,Buck braised in spicy green curry broth Shanghai noodes raw Napa cabbage oyster mushroom   ,Kari Tieh available gluten free w rice noodles Buck braised in spicy green curry broth Shanghai noodes raw Napa cabbage oyster mushroom
577,Ciao bella Cheese Burger,,
577,Grilled Chicken Pesto Sandwich,,
576,Canard po l  Clafoutis aux pommes available gluten free ,Long Island duck breast pan seared cranberry apple clafoutis  Wood's Cider Mille cider reduction   ,Canard po l  Clafoutis aux pommes available gluten free Long Island duck breast pan seared cranberry apple clafoutis  Wood's Cider Mille cider reduction
576,Boeuf Bourguignon Pommes pur e la citrouille gluten free ,PT Farm beef short ribs slow cooked in red Burgundy pearl onion bacon button mushroom carrots mashed potatoes w pumpkin      ,Boeuf Bourguignon Pommes pur e la citrouille gluten free PT Farm beef short ribs slow cooked in red Burgundy pearl onion bacon button mushroom carrots mashed potatoes w pumpkin
576,Bavette l' chalotte Frites maison available gluten free ,Grilled flat iron steak red wine shallot butter sauce home made French fries   ,Bavette l' chalotte Frites maison available gluten free Grilled flat iron steak red wine shallot butter sauce home made French fries
576,Pav de Saumon available gluten free ,Faroe Island salmon pan seared mushroom leek risotto cake grilled asparagus light sage butter reduction   ,Pav de Saumon available gluten free Faroe Island salmon pan seared mushroom leek risotto cake grilled asparagus light sage butter reduction
576,Filet de Thon saisi aux deux coulis piment s available gluten free ,Rare pan seared tuna loin encrusted w breadcrumbs red green chili cream sauces crispy pear scallion ravioli   ,Filet de Thon saisi aux deux coulis piment s available gluten free Rare pan seared tuna loin encrusted w breadcrumbs red green chili cream sauces crispy pear scallion ravioli
576,Pork Diplomat,Grilled pork tenderloin peppery garlic soy cream sauce grilled eggplant crudit timbale w jasmine rice avocado carrot cucumber scallion cilantro   ,Pork Diplomat Grilled pork tenderloin peppery garlic soy cream sauce grilled eggplant crudit timbale w jasmine rice avocado carrot cucumber scallion cilantro
576,Poulet la citronnelle available vegan w Organic Tofu ,Bell Evans chicken thigh in lemongrass sauce peanut onion red bell pepper scallion      ,Poulet la citronnelle available vegan w Organic Tofu Bell Evans chicken thigh in lemongrass sauce peanut onion red bell pepper scallion
576,Meesiem available vegan ,Rice noodles in a sauce of salted soy beans tofu PT Farm pork belly garlic chilies pickled shallot Chinese chive bean sprouts red bell pepper omelet garnish      ,Meesiem available vegan Rice noodles in a sauce of salted soy beans tofu PT Farm pork belly garlic chilies pickled shallot Chinese chive bean sprouts red bell pepper omelet garnish
576,Loc Lac available gluten free ,Beef tenderloin caramelized in black pepper garlic mushroom soy romaine heart lettuce lime garlic dipping sauce      ,Loc Lac available gluten free Beef tenderloin caramelized in black pepper garlic mushroom soy romaine heart lettuce lime garlic dipping sauce
576,Trey Tuk Peng Pah,Crispy Asian catfish tangy sauce w fresh plum tomato shallot garlic fried shallot cilantro   ,Trey Tuk Peng Pah Crispy Asian catfish tangy sauce w fresh plum tomato shallot garlic fried shallot cilantro
576,Rouleaux available vegan w shiitake mushroom ,Crispy Cambodian spring rolls filled w pork peanut noodles carrot onion served w greens herbs for wrapping tuk trey for dipping,Rouleaux available vegan w shiitake mushroom Crispy Cambodian spring rolls filled w pork peanut noodles carrot onion served w greens herbs for wrapping tuk trey for dipping
576,Nataing gluten free ,Ground pork simmered in coconut milk w sliced garlic peanuts chili pods served w rice croquette,Nataing gluten free Ground pork simmered in coconut milk w sliced garlic peanuts chili pods served w rice croquette
576,B'Baw Mouan gluten free ,The essential Cambodian rice soup w chicken fried garlic herbs lime,B'Baw Mouan gluten free The essential Cambodian rice soup w chicken fried garlic herbs lime
576,Somlah Machou available gluten free ,A tangy soup w natural shrimp plum tomatoes garlic w fried garlic  French mint,Somlah Machou available gluten free A tangy soup w natural shrimp plum tomatoes garlic w fried garlic  French mint
576,Soupe Phnom Penh Kuy Tieu ,The traditional Khmer noodle soup w PT Farm pork bean sprout fried garlic garnished w cilantro scallion salted cabbage,Soupe Phnom Penh Kuy Tieu The traditional Khmer noodle soup w PT Farm pork bean sprout fried garlic garnished w cilantro scallion salted cabbage
576,Avocat Kanthor gluten free ,Raw tuna avocado lemongrass shallot French mint dressing w Khmer spices peanut,Avocat Kanthor gluten free Raw tuna avocado lemongrass shallot French mint dressing w Khmer spices peanut
576,Salade verte vegan gluten free ,Baby green mix plum tomatoes dressed w balsamic vinaigrette,Salade verte vegan gluten free Baby green mix plum tomatoes dressed w balsamic vinaigrette
576,Salade Cambodgienne gluten free available vegan ,Shredded cabbage carrot natural chicken breast red bell pepper onion peanut mint Asian basil tuk trey,Salade Cambodgienne gluten free available vegan Shredded cabbage carrot natural chicken breast red bell pepper onion peanut mint Asian basil tuk trey
576,Nyoum Sarai gluten free available vegan ,Kelp noodles shrimp cucumber cherry tomato mint shallot peanut Asian basil spicy chili lime tuk trey dressing,Nyoum Sarai gluten free available vegan Kelp noodles shrimp cucumber cherry tomato mint shallot peanut Asian basil spicy chili lime tuk trey dressing
576,Poulet la Citronnelle available vegan w organic tofu ,Bell Evans chicken thigh in lemongrass sauce peanut onion red bell pepper scallion served w Jasmine rice,Poulet la Citronnelle available vegan w organic tofu Bell Evans chicken thigh in lemongrass sauce peanut onion red bell pepper scallion served w Jasmine rice
576,Crevettes Kep Sur Mer gluten free available vegan w Organic Tofu ,Natural shrimp tangy lemongrass tamarind coconut milk sauce asparagus baby bok choy snow peas red bell pepper button mushroom,Crevettes Kep Sur Mer gluten free available vegan w Organic Tofu Natural shrimp tangy lemongrass tamarind coconut milk sauce asparagus baby bok choy snow peas red bell pepper button mushroom
576,Trey Tuk Peng Pah,Crispy Asian catfish tangy sauce w fresh plum tomato shallot garlic fried shallot  cilantro served w jasmine rice,Trey Tuk Peng Pah Crispy Asian catfish tangy sauce w fresh plum tomato shallot garlic fried shallot  cilantro served w jasmine rice
576,Loc Lac available gluten free ,Beef tenderloin caramelized in black pepper garlic mushroom soy romaine heart lettuce lime garlic dipping sauce served w jasmine rice,Loc Lac available gluten free Beef tenderloin caramelized in black pepper garlic mushroom soy romaine heart lettuce lime garlic dipping sauce served w jasmine rice
576,Bavette l' chalotte Frites Maison available gluten free ,Grilled flat iron steak red wine shallot butter sauce home made French fries,Bavette l' chalotte Frites Maison available gluten free Grilled flat iron steak red wine shallot butter sauce home made French fries
577,Chicken Parmigiano Sandwich,,
577,Grilled Portobello and Fresh Mozzarella Panini,,
576,Braised Duck,Duck braised in soy ginger tamarind juices w portobello mushroom garnished w baby arugula carrot cucumber cilantro scallion dressed w Tuk Trey,Braised Duck Duck braised in soy ginger tamarind juices w portobello mushroom garnished w baby arugula carrot cucumber cilantro scallion dressed w Tuk Trey
576,Crispy Catfish,Crispy Asian catfish w spicy sriracha mayonnaise baby arugula Cambodian quick pickles,Crispy Catfish Crispy Asian catfish w spicy sriracha mayonnaise baby arugula Cambodian quick pickles
576,Lemongrass Chicken,Bell Evans chicken thigh in lemongrass sauce w peanut garnished w carrot cucumber cilantro  scallion dressed Tuk trey spicy sriracha mayonnaise fresh jalapeno optional,Lemongrass Chicken Bell Evans chicken thigh in lemongrass sauce w peanut garnished w carrot cucumber cilantro  scallion dressed Tuk trey spicy sriracha mayonnaise fresh jalapeno optional
576,Rouleaux available vegan w Shiitake mushroom ,Crispy Cambodian spring rolls served w greens herbs tuk trey for dipping,Rouleaux available vegan w Shiitake mushroom Crispy Cambodian spring rolls served w greens herbs tuk trey for dipping
576,B'baw Mouan gluten free ,The essential Cambodian rice soup w Bell Evans chicken breast fried garlic fresh herbs lime,B'baw Mouan gluten free The essential Cambodian rice soup w Bell Evans chicken breast fried garlic fresh herbs lime
576,Somlah Machou gluten free ,Cambodian sour soup w tiger shrimp plum tomato fried garlic French mint,Somlah Machou gluten free Cambodian sour soup w tiger shrimp plum tomato fried garlic French mint
576,Soupe Phnom Penh Kuy Tieu ,The traditional Khmer noodle soup w PT Farm pork bean sprouts fried garlic fresh herbs,Soupe Phnom Penh Kuy Tieu The traditional Khmer noodle soup w PT Farm pork bean sprouts fried garlic fresh herbs
576,Omelette au Gruy re et Jambon,Cage free egg omelet w Gruy re cheese natural North Country ham,Omelette au Gruy re et Jambon Cage free egg omelet w Gruy re cheese natural North Country ham
576,Omelette Rago t de Tomate au Ch vre,Cage free egg omelet tomato chick pea ragout baby spinach Vermont goat cheese,Omelette Rago t de Tomate au Ch vre Cage free egg omelet tomato chick pea ragout baby spinach Vermont goat cheese
576,Oeufs Brouill s Saucisses au Sirop d'Erable,Cage free egg scrambled maple syrup sausages shallot confit,Oeufs Brouill s Saucisses au Sirop d'Erable Cage free egg scrambled maple syrup sausages shallot confit
576,Oeufs Brouill s au Kapik Khing,Cage free egg scrambled PT Farm pork belly slow cooked w Khmer spices cucumber pickles,Oeufs Brouill s au Kapik Khing Cage free egg scrambled PT Farm pork belly slow cooked w Khmer spices cucumber pickles
576,Salade Verte vegan gluten free ,Baby green mix plum tomato dressed w balsamic vinaigrette,Salade Verte vegan gluten free Baby green mix plum tomato dressed w balsamic vinaigrette
576,Salade d'Epinards aux Noix de Cajou gluten free available vegan ,Baby spinach shaved raw pumpkin spicy rosemary cashews hard cooked egg red onion mustard vinaigrette,Salade d'Epinards aux Noix de Cajou gluten free available vegan Baby spinach shaved raw pumpkin spicy rosemary cashews hard cooked egg red onion mustard vinaigrette
576,Salade Cambodgienne gluten free available vegan ,Shredded cabbage carrot Bell Evans chicken breast red bell pepper onion peanut mint Asian basil tuk trey,Salade Cambodgienne gluten free available vegan Shredded cabbage carrot Bell Evans chicken breast red bell pepper onion peanut mint Asian basil tuk trey
576,Poulet la Citronnelle available vegan w Organic Tofu ,Sliced Bell Evans chicken thigh in lemongrass sauce peanut onion scallion w rice,Poulet la Citronnelle available vegan w Organic Tofu Sliced Bell Evans chicken thigh in lemongrass sauce peanut onion scallion w rice
576,Loclac Frites la Cambodgienne,Beef tenderloin caramelized in black pepper garlic mushroom soy served w homemade French fries dressed baby greens,Loclac Frites la Cambodgienne Beef tenderloin caramelized in black pepper garlic mushroom soy served w homemade French fries dressed baby greens
576,Cr pe au Canard,French crepe filled w duck braised in soy tamarind juices portobello mushroom cr me fr iche scallion dressed baby greens,Cr pe au Canard French crepe filled w duck braised in soy tamarind juices portobello mushroom cr me fr iche scallion dressed baby greens
576,Croustillants aux crevettes,Crisp wonton layered w pear scallion tiger shrimp white wine butter sauce w leek tomato garlic,Croustillants aux crevettes Crisp wonton layered w pear scallion tiger shrimp white wine butter sauce w leek tomato garlic
576,MeeSiem available vegan ,Rice noodles in a sauce of salted soy beans tofu PT Farm pork belly garlic chilies pickles shallot Chinese chive bean sprouts red bell pepper omelet garnish,MeeSiem available vegan Rice noodles in a sauce of salted soy beans tofu PT Farm pork belly garlic chilies pickles shallot Chinese chive bean sprouts red bell pepper omelet garnish
576,Pain Perdu au Sirop d'Erable au Cidre,French toasts w brioche Wood's Cider Mills cinnamon cider maple syrup fresh fruit,Pain Perdu au Sirop d'Erable au Cidre French toasts w brioche Wood's Cider Mills cinnamon cider maple syrup fresh fruit
576,Cr pe Glac e,French crepe filled w premium vanilla ice cream drizzled w warm chocolate ganache make it a bacon ice cream crepe ,Cr pe Glac e French crepe filled w premium vanilla ice cream drizzled w warm chocolate ganache make it a bacon ice cream crepe
576,Le P ch au Chocolat,A rich creamy chocolate truffle cake perfectly paired w raspberry coulis gluten free ,Le P ch au Chocolat A rich creamy chocolate truffle cake perfectly paired w raspberry coulis gluten free
576,Mousse aux Fruits de la Passion,Refreshingly tart sweet passion mousse served in an almond lace cup garnished w fresh pineapple crushed in dark rum sugar lemon juice gluten free if served without almond lace cup ,Mousse aux Fruits de la Passion Refreshingly tart sweet passion mousse served in an almond lace cup garnished w fresh pineapple crushed in dark rum sugar lemon juice gluten free if served without almond lace cup
576,D lice au citron,Lemon layer g noise w lemon custard cream raspberry coulis cr me anglaise raw cacao nibs,D lice au citron Lemon layer g noise w lemon custard cream raspberry coulis cr me anglaise raw cacao nibs
576,G teau Choco Caramel,Chocolate caramel g noise w vanilla ice cream cr me Anglaise ganache,G teau Choco Caramel Chocolate caramel g noise w vanilla ice cream cr me Anglaise ganache
577,Minestrone,,
577,Zuppa del Giorno,,
577,Bagel and Cream Cheese,,
577,Bagel and Lox,,
577,Two eggs any style,,
577,Three eggs any style,,
577,Omelet,,
577,Frittata Della Casa,,
577,French Toast,,
577,Rum Glazed Banana French Toast,,
577,Eggs Benedict,,
577,Eggs Ciao bella,,
577,Prosciutto and Fresh Mozzarella Panini,,
577,Goat Cheese Tomato and Pancetta Panini,,
577,Spinach Fettuccine Carbonara,,
577,Pasta Primavera with Whole Wheat Penne,,
577,Fettuccine Alfredo,,
577,Penne Bolognese,,
577,Linguine Aglio Olio e Olive Nere,,
577,Spaghetti al Pomodoro Fresco,,
577,Farfalle al Pesto,,
577,Linguine alla Vongole,,
577,Farfalle Pasta with Chicken,,
577,Linguine ai Gamberetti,,
577,Seared Scallops with a Tomato Vodka Cream,,
577,Lasagna del Giorno,,
577,Ravioli Specialita,Priced daily,Ravioli Specialita Priced daily
577,Veal Parmigiano,,
577,Pollo Parmigiano,,
577,Pollo alla Limone,,
577,Salmone,,
577,Minestrone freshly Made Vegetable Soup ,,
577,Zuppa Del Giorno soup Of The Day ,,
577,Formaggi E Frutti,Selection Of Italian Cheeses Served With Fresh Fruit And Crackers,Formaggi E Frutti Selection Of Italian Cheeses Served With Fresh Fruit And Crackers
577,Bruschetta Di Pomodori,Tomatoes Garlic Fresh Basil Tossed With Extra virgin Olive Oil And Fresh Mozzarella Served Over Crostini,Bruschetta Di Pomodori Tomatoes Garlic Fresh Basil Tossed With Extra virgin Olive Oil And Fresh Mozzarella Served Over Crostini
577,Buffalo Mozzarella Alla Caprese,Buffalo Mozzarella With Vine Ripened Beefsteak Tomatoes fresh Basil Mixed Seasonal Greens,Buffalo Mozzarella Alla Caprese Buffalo Mozzarella With Vine Ripened Beefsteak Tomatoes fresh Basil Mixed Seasonal Greens
577,Involtini Di Melanzane,Thin Sliced Baked Breaded Eggplant Stuffed With Ricotta And Parmigiano Topped With A Rustic Pomodoro Sauce,Involtini Di Melanzane Thin Sliced Baked Breaded Eggplant Stuffed With Ricotta And Parmigiano Topped With A Rustic Pomodoro Sauce
577,Gamberi Ciao Bella,Extra Large Breaded Oven Baked Shrimp With A Garlic Cream Sauce Tomatoes Roasted Pepper And Onion,Gamberi Ciao Bella Extra Large Breaded Oven Baked Shrimp With A Garlic Cream Sauce Tomatoes Roasted Pepper And Onion
577,Pan seared Jonah Crab Cakes,Native Cape Cod Crab Served With A Citrus Butter Sauce Fresh Greens And Mango Salsa,Pan seared Jonah Crab Cakes Native Cape Cod Crab Served With A Citrus Butter Sauce Fresh Greens And Mango Salsa
577,Carpaccio Della Casa,Thinly Sliced Raw Beef Capers Pecorino Romano Lemon Olive Oil,Carpaccio Della Casa Thinly Sliced Raw Beef Capers Pecorino Romano Lemon Olive Oil
577,Funghi Portobello,Portobello Mushroom Saut ed Olive Oil Garlic Lemon And White Wine Roasted Peppers Over Fresh Spinach,Funghi Portobello Portobello Mushroom Saut ed Olive Oil Garlic Lemon And White Wine Roasted Peppers Over Fresh Spinach
577,Cozze In Brodo,Steamed Mussels In A Light Mustard Cream Sauce,Cozze In Brodo Steamed Mussels In A Light Mustard Cream Sauce
577,Chilled Calamari,Olive Oil And Lemon Marinated With Tomatoes Olives Artichoke Hearts And Fresh Greens,Chilled Calamari Olive Oil And Lemon Marinated With Tomatoes Olives Artichoke Hearts And Fresh Greens
577,Antipasto,Salami Italian Tuna With Beans Prosciutto Provolone Black Olives Marinated Mushrooms Anchovies Piedmont Tomato Cucumbers Romaine Lettuce,Antipasto Salami Italian Tuna With Beans Prosciutto Provolone Black Olives Marinated Mushrooms Anchovies Piedmont Tomato Cucumbers Romaine Lettuce
577,Insalata Della Casa,Romaine Vine ripe Tomato Cucumbers Carrots House Dressing,Insalata Della Casa Romaine Vine ripe Tomato Cucumbers Carrots House Dressing
577,Cesare,Romaine Lettuce Tossed With Our House Made Caesar Dressing Croutons Anchovy And Shaved Pecorino Romano,Cesare Romaine Lettuce Tossed With Our House Made Caesar Dressing Croutons Anchovy And Shaved Pecorino Romano
577,Cesare,With Grilled Chicken Or Shrimp,Cesare With Grilled Chicken Or Shrimp
577,Insalata Mista,Mixed Seasonal Greens Prosciutto Pignoli Nuts Romano Cheese Warm Balsamic Vinaigrette,Insalata Mista Mixed Seasonal Greens Prosciutto Pignoli Nuts Romano Cheese Warm Balsamic Vinaigrette
577,Insalata Di Spinaci,Fresh Baby Spinach With Bell Pepper Tomatoes Walnuts Bleu Cheese Lemon Juice And Extra Virgin,Insalata Di Spinaci Fresh Baby Spinach With Bell Pepper Tomatoes Walnuts Bleu Cheese Lemon Juice And Extra Virgin
577,Grilled Steak And Roasted Corn Salad,Sliced Tenderloin Of Beef Greens Marinated Mushrooms Roasted Peppers Cherry Tomato Sherry Dijon Vinaigrette,Grilled Steak And Roasted Corn Salad Sliced Tenderloin Of Beef Greens Marinated Mushrooms Roasted Peppers Cherry Tomato Sherry Dijon Vinaigrette
577,Chilled Yellow Fin Tuna And Citrus Salad,Seared Sliced Tuna Mixed Greens Crisp Cucumber Orange And Grapefruit Sections And A Citrus Vinaigrette,Chilled Yellow Fin Tuna And Citrus Salad Seared Sliced Tuna Mixed Greens Crisp Cucumber Orange And Grapefruit Sections And A Citrus Vinaigrette
577,Insalata Alla Formaggio Di Capra,Fresh Greens Roasted Peppers Marinated Mushrooms Tomatoes And Goat Cheese With A Red Wine Vinaigrette,Insalata Alla Formaggio Di Capra Fresh Greens Roasted Peppers Marinated Mushrooms Tomatoes And Goat Cheese With A Red Wine Vinaigrette
577,Ciao Bella Cheese Burger With Mixed Greens, Oz  Of Fresh Ground Beef Using    Choice Sirloin,Ciao Bella Cheese Burger With Mixed Greens Oz  Of Fresh Ground Beef Using    Choice Sirloin
577,Chicken Parmigiano,Served On Seeded Italian Bread With Our Pomodoro Sauce And Mozzarella,Chicken Parmigiano Served On Seeded Italian Bread With Our Pomodoro Sauce And Mozzarella
577,Grilled Portobello And Fresh Mozzarella Panini,Vine Ripe Tomato And Extra Virgin Olive Oil,Grilled Portobello And Fresh Mozzarella Panini Vine Ripe Tomato And Extra Virgin Olive Oil
577,Fresh Mozzarella Vine ripe Tomato And Pesto Panini,Grilled Italian Bread Basil Pine Nuts Olive Oil And Garlic,Fresh Mozzarella Vine ripe Tomato And Pesto Panini Grilled Italian Bread Basil Pine Nuts Olive Oil And Garlic
577,Stacked Grilled Vegetables And Smoked Mozzarella Panini,Portobello Mushroom Zucchini Summer Squash Fresh Basil And A Roasted Pepper Aioli,Stacked Grilled Vegetables And Smoked Mozzarella Panini Portobello Mushroom Zucchini Summer Squash Fresh Basil And A Roasted Pepper Aioli
577,Grilled Chicken Pesto Sandwich,With Caramelized Onions Mushrooms And Fresh Greens,Grilled Chicken Pesto Sandwich With Caramelized Onions Mushrooms And Fresh Greens
577,Prosciutto And Fresh Mozzarella Panini,Vine ripe Tomato Fresh Basil Olive Oil,Prosciutto And Fresh Mozzarella Panini Vine ripe Tomato Fresh Basil Olive Oil
586,Fresh Raspberries or Mixed Berries,,
586,Key Lime Pie,,
586,Carrot Cake,,
577,Goat Cheese Tomato And Pancetta Panini,Seeded Bread With Italian Bacon And Vine ripe Tomato,Goat Cheese Tomato And Pancetta Panini Seeded Bread With Italian Bacon And Vine ripe Tomato
577,Spinach Fettuccine Carbonara,Cream Pancetta Peas Parmigiano,Spinach Fettuccine Carbonara Cream Pancetta Peas Parmigiano
577,Fettuccine Alfredo,Cream Butter Parmigiano And Pecorino Romano Cheese Black Pepper,Fettuccine Alfredo Cream Butter Parmigiano And Pecorino Romano Cheese Black Pepper
577,Pasta Primavera With Whole Wheat Penne,Pepper Mushrooms Zucchini And Summer Squash With Cream Parmigiano And Pecorino Romano Cheese,Pasta Primavera With Whole Wheat Penne Pepper Mushrooms Zucchini And Summer Squash With Cream Parmigiano And Pecorino Romano Cheese
577,Penne Bolognese,Tubes Of Pasta In A Hearty Meat Sauce With Mushrooms,Penne Bolognese Tubes Of Pasta In A Hearty Meat Sauce With Mushrooms
577,Spaghetti Al Puttanesca,Pasta With A Spicy Tomato Red Wine Sauce Black Olives Anchovies Capers And Roasted Peppers,Spaghetti Al Puttanesca Pasta With A Spicy Tomato Red Wine Sauce Black Olives Anchovies Capers And Roasted Peppers
577,Linguine Aglio Olio E Olive Nere,Extra Virgin Olive Oil Italian Black Olives Basil Garlic Tomatoes,Linguine Aglio Olio E Olive Nere Extra Virgin Olive Oil Italian Black Olives Basil Garlic Tomatoes
577,Spaghetti Al Pomodoro Fresco,Pasta With A Fresh Tomato And Basil Sauce,Spaghetti Al Pomodoro Fresco Pasta With A Fresh Tomato And Basil Sauce
577,Penne Pasta With Sweet Italian Sausage,Bell Pepper Onion Basil Parmigiano And Pecorino Romano Cheeses With A Tomato Vodka Cream,Penne Pasta With Sweet Italian Sausage Bell Pepper Onion Basil Parmigiano And Pecorino Romano Cheeses With A Tomato Vodka Cream
577,Farfalle Al Pesto,Basil Pignoli Nuts Parmigiano Cream Garlic,Farfalle Al Pesto Basil Pignoli Nuts Parmigiano Cream Garlic
577,Farfalle Pasta With Chicken,Saut Chicken Breast With Red Pepper Peas Fresh Basil Olive Oil And Bow Tie Shaped Pasta,Farfalle Pasta With Chicken Saut Chicken Breast With Red Pepper Peas Fresh Basil Olive Oil And Bow Tie Shaped Pasta
577,Linguine Ai Gamberetti,Saut Shrimp Roasted Red Pepper Red Onion And Fresh Tomatoes With A Garlic Cream,Linguine Ai Gamberetti Saut Shrimp Roasted Red Pepper Red Onion And Fresh Tomatoes With A Garlic Cream
577,Seared Scallops With A Tomato vodka Cream,With Baby Spinach Penne Pasta Pecorino Romano And Regiano Parmigiano,Seared Scallops With A Tomato vodka Cream With Baby Spinach Penne Pasta Pecorino Romano And Regiano Parmigiano
577,Linguine Alla Vongole,Clams Fresh Parsley And Garlic Served With A Choice Of White Wine Or Marinara Sauce,Linguine Alla Vongole Clams Fresh Parsley And Garlic Served With A Choice Of White Wine Or Marinara Sauce
577,Lasagna Del Giorno,,
577,Frittata Della Casa,Portobello Tomato And Asiago Omelet With Mixed Greens,Frittata Della Casa Portobello Tomato And Asiago Omelet With Mixed Greens
577,Veal Parmigiano,Saut ed Veal Tomato Sauce Mozzarella Cheese Served With Linguine,Veal Parmigiano Saut ed Veal Tomato Sauce Mozzarella Cheese Served With Linguine
577,Chicken Parmigiano,Saut ed Breast Of Chicken Tomato Sauce Mozzarella Served With Linguine,Chicken Parmigiano Saut ed Breast Of Chicken Tomato Sauce Mozzarella Served With Linguine
577,Chicken Marsala,Saut ed With Mushrooms And A Rich Marsala Sauce Served With Linguine,Chicken Marsala Saut ed With Mushrooms And A Rich Marsala Sauce Served With Linguine
